,TIME_VALUE,Z_LOCATION,DATA_VALUE,QF1,QF3
0,2021-08-24 15:25:00,-35.0,34.02,2,2
1,2021-08-24 15:25:00,-11.0,33.92,2,2
2,2021-08-24 16:25:00,-35.0,33.99,2,2
3,2021-08-24 16:25:00,-11.0,33.88,2,2
4,2021-08-24 17:25:00,-35.0,33.97,2,2
5,2021-08-24 17:25:00,-11.0,33.87,2,2
6,2021-08-24 18:25:00,-35.0,33.98,2,2
7,2021-08-24 18:25:00,-11.0,33.86,2,2
8,2021-08-24 19:25:00,-35.0,33.97,2,2
9,2021-08-24 19:25:00,-11.0,33.89,2,2
10,2021-08-24 20:25:00,-35.0,33.98,2,2
11,2021-08-24 20:25:00,-11.0,33.88,2,2
12,2021-08-24 21:25:00,-35.0,34.0,2,2
13,2021-08-24 21:25:00,-11.0,33.88,2,2
14,2021-08-24 22:25:00,-35.0,34.04,2,2
15,2021-08-24 22:25:00,-11.0,33.92,2,2
16,2021-08-24 23:25:00,-35.0,34.04,2,2
17,2021-08-24 23:25:00,-11.0,33.95,2,2
18,2021-08-25 00:25:00,-35.0,34.05,2,2
19,2021-08-25 00:25:00,-11.0,34.05,2,2
20,2021-08-25 01:25:00,-35.0,34.04,2,2
21,2021-08-25 01:25:00,-11.0,34.05,2,2
22,2021-08-25 02:25:00,-35.0,34.04,2,2
23,2021-08-25 02:25:00,-11.0,33.96,2,2
24,2021-08-25 03:25:00,-35.0,34.03,2,2
25,2021-08-25 03:25:00,-11.0,33.91,2,2
26,2021-08-25 04:25:00,-35.0,34.0,2,2
27,2021-08-25 04:25:00,-11.0,33.88,2,2
28,2021-08-25 05:25:00,-35.0,33.99,2,2
29,2021-08-25 05:25:00,-11.0,33.89,2,2
30,2021-08-25 06:25:00,-35.0,33.99,2,2
31,2021-08-25 06:25:00,-11.0,33.89,2,2
32,2021-08-25 07:25:00,-35.0,34.0,2,2
33,2021-08-25 07:25:00,-11.0,33.9,2,2
34,2021-08-25 08:25:00,-35.0,34.0,2,2
35,2021-08-25 08:25:00,-11.0,33.9,2,2
36,2021-08-25 09:25:00,-35.0,33.98,2,2
37,2021-08-25 09:25:00,-11.0,33.91,2,2
38,2021-08-25 10:25:00,-35.0,34.06,2,2
39,2021-08-25 10:25:00,-11.0,33.93,2,2
40,2021-08-25 11:25:00,-35.0,34.06,2,2
41,2021-08-25 11:25:00,-11.0,33.95,2,2
42,2021-08-25 12:25:00,-35.0,34.07,2,2
43,2021-08-25 12:25:00,-11.0,33.98,2,2
44,2021-08-25 13:25:00,-35.0,34.06,2,2
45,2021-08-25 13:25:00,-11.0,33.97,2,2
46,2021-08-25 14:25:00,-35.0,34.06,2,2
47,2021-08-25 14:25:00,-11.0,33.98,2,2
48,2021-08-25 15:25:00,-35.0,34.05,2,2
49,2021-08-25 15:25:00,-11.0,33.96,2,2
50,2021-08-25 16:25:00,-35.0,34.05,2,2
51,2021-08-25 16:25:00,-11.0,33.95,2,2
52,2021-08-25 17:25:00,-35.0,33.99,2,2
53,2021-08-25 17:25:00,-11.0,33.95,2,2
54,2021-08-25 18:25:00,-35.0,33.98,2,2
55,2021-08-25 18:25:00,-11.0,33.95,2,2
56,2021-08-25 19:25:00,-35.0,33.98,2,2
57,2021-08-25 19:25:00,-11.0,33.93,2,2
