time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2020-03-12 10:29:00;1;0;0
2020-07-09 10:29:00;4;0;0
2020-08-31 09:29:00;1;0;0
2020-08-31 13:29:00;1;0;0
2020-12-12 01:29:00;1;0;0
2022-09-05 17:00:00;1;0;0
2022-09-13 21:00:00;1;0;0
2022-09-14 08:00:00;1;0;0
2022-11-22 15:00:00;1;0;0
2022-12-01 15:00:00;1;0;0
2023-02-22 10:00:00;1;0;0
2023-07-07 09:00:00;1;0;0
2023-07-26 17:00:00;1;0;0
2023-07-26 20:00:00;1;0;0
2023-07-27 22:00:00;1;0;0
2023-07-29 09:00:00;1;0;0
2023-09-19 09:00:00;1;0;0
2023-09-20 12:00:00;1;0;0
2023-09-21 09:00:00;1;0;0
