time_stamp;LENGTH;N_MISSING_BEFORE;N_MISSING_AFTER
2020-02-12 10:29:00;1;0;0
2020-02-12 12:29:00;1;0;0
2020-02-24 00:29:00;104;0;607
2020-03-24 14:29:00;10;607;2630
2020-08-11 01:29:00;62;0;0
2020-08-27 07:29:00;13;0;0
2020-08-31 09:29:00;3;0;2
2020-08-31 13:29:00;5;2;0
2020-10-02 16:29:00;293;0;0
2020-10-18 04:29:00;8;0;0
2020-10-22 14:29:00;10;0;0
2020-11-19 07:29:00;34;0;2
2020-11-20 18:29:00;97;2;2
2020-11-24 20:29:00;38;2;13676
2022-07-08 20:00:00;1233;0;7801
2023-08-07 10:00:00;34;0;2
2023-08-08 21:00:00;31;2;415
2023-09-21 09:00:00;4;0;0
2023-10-04 16:00:00;1;0;0
2023-10-15 10:00:00;25;0;0
