time_delta;DURATION;START
1;61 days 15:00:00;2022-06-28 13:00:00
2;73 days 02:00:00;2020-09-14 07:29:00
3;73 days 02:00:00;2020-09-14 07:29:00
4;73 days 02:00:00;2020-09-14 07:29:00
5;136 days 20:00:00;2020-07-12 13:29:00
6;136 days 20:00:00;2020-07-12 13:29:00
7;136 days 20:00:00;2020-07-12 13:29:00
8;136 days 20:00:00;2020-07-12 13:29:00
9;136 days 20:00:00;2020-07-12 13:29:00
10;136 days 20:00:00;2020-07-12 13:29:00
11;136 days 20:00:00;2020-07-12 13:29:00
12;136 days 20:00:00;2020-07-12 13:29:00
13;136 days 20:00:00;2020-07-12 13:29:00
14;136 days 20:00:00;2020-07-12 13:29:00
15;136 days 20:00:00;2020-07-12 13:29:00
16;136 days 20:00:00;2020-07-12 13:29:00
17;136 days 20:00:00;2020-07-12 13:29:00
18;136 days 20:00:00;2020-07-12 13:29:00
19;136 days 20:00:00;2020-07-12 13:29:00
20;136 days 20:00:00;2020-07-12 13:29:00
21;136 days 20:00:00;2020-07-12 13:29:00
22;136 days 20:00:00;2020-07-12 13:29:00
23;136 days 20:00:00;2020-07-12 13:29:00
24;136 days 20:00:00;2020-07-12 13:29:00
