time_delta;DURATION;START
1;73 days 20:00:00;2020-01-01 00:29:00
2;90 days 04:00:00;2020-09-14 07:29:00
3;109 days 17:00:00;2020-03-24 14:29:00
4;109 days 17:00:00;2020-03-24 14:29:00
5;153 days 22:00:00;2020-07-12 13:29:00
6;263 days 21:00:00;2020-03-24 14:29:00
7;263 days 21:00:00;2020-03-24 14:29:00
8;263 days 21:00:00;2020-03-24 14:29:00
9;263 days 21:00:00;2020-03-24 14:29:00
10;263 days 21:00:00;2020-03-24 14:29:00
11;263 days 21:00:00;2020-03-24 14:29:00
12;263 days 21:00:00;2020-03-24 14:29:00
13;263 days 21:00:00;2020-03-24 14:29:00
14;263 days 21:00:00;2020-03-24 14:29:00
15;263 days 21:00:00;2020-03-24 14:29:00
16;263 days 21:00:00;2020-03-24 14:29:00
17;263 days 21:00:00;2020-03-24 14:29:00
18;263 days 21:00:00;2020-03-24 14:29:00
19;263 days 21:00:00;2020-03-24 14:29:00
20;263 days 21:00:00;2020-03-24 14:29:00
21;263 days 21:00:00;2020-03-24 14:29:00
22;263 days 21:00:00;2020-03-24 14:29:00
23;263 days 21:00:00;2020-03-24 14:29:00
24;263 days 21:00:00;2020-03-24 14:29:00
