time_delta;DURATION;START
1;119 days 10:00:00;2022-09-27 08:00:00
2;119 days 10:00:00;2022-09-27 08:00:00
3;119 days 10:00:00;2022-09-27 08:00:00
4;119 days 10:00:00;2022-09-27 08:00:00
5;153 days 22:00:00;2020-07-12 13:29:00
6;263 days 21:00:00;2020-03-24 14:29:00
7;263 days 21:00:00;2020-03-24 14:29:00
8;263 days 21:00:00;2020-03-24 14:29:00
9;263 days 21:00:00;2020-03-24 14:29:00
10;263 days 21:00:00;2020-03-24 14:29:00
11;263 days 21:00:00;2020-03-24 14:29:00
12;263 days 21:00:00;2020-03-24 14:29:00
13;263 days 21:00:00;2020-03-24 14:29:00
14;263 days 21:00:00;2020-03-24 14:29:00
15;263 days 21:00:00;2020-03-24 14:29:00
16;263 days 21:00:00;2020-03-24 14:29:00
17;263 days 21:00:00;2020-03-24 14:29:00
18;263 days 21:00:00;2020-03-24 14:29:00
19;263 days 21:00:00;2020-03-24 14:29:00
20;263 days 21:00:00;2020-03-24 14:29:00
21;263 days 21:00:00;2020-03-24 14:29:00
22;263 days 21:00:00;2020-03-24 14:29:00
23;263 days 21:00:00;2020-03-24 14:29:00
24;263 days 21:00:00;2020-03-24 14:29:00
