time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2020-08-11 07:09:00;1;0;0
2020-08-14 18:09:00;1;0;0
2020-08-16 04:09:00;1;0;0
2020-08-17 19:09:00;1;0;0
2020-08-18 09:09:00;1;0;0
2020-08-19 23:09:00;1;0;0
2020-08-21 03:09:00;1;0;0
2020-08-23 02:09:00;1;0;0
2020-08-23 12:09:00;1;0;0
2020-08-24 11:09:00;1;0;0
2020-08-27 07:09:00;1;0;0
2021-09-12 14:09:00;1;0;0
2022-03-09 11:00:00;2;0;0
2022-03-09 14:00:00;1;0;0
2022-03-09 18:00:00;1;0;0
2023-08-25 13:00:00;1;0;0
2023-08-26 18:00:00;1;0;0
2023-08-26 22:00:00;1;0;0
