time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2021-10-08 07:25:00;1;1;1
2021-10-08 11:25:00;5;1;1
2021-10-21 03:00:00;11;0;1
2021-10-21 17:00:00;14;1;1
2021-10-22 08:00:00;1;1;0
2021-12-13 07:00:00;3;0;0
2021-12-15 09:00:00;3;0;0
2021-12-17 10:00:00;11;0;0
2021-12-30 18:00:00;7;1;0
2021-12-31 03:00:00;3;0;0
2021-12-31 13:00:00;1;0;0
2022-01-13 14:00:00;3;0;0
2022-01-16 07:00:00;15;0;0
2022-05-18 07:00:00;1;0;0
2022-05-24 00:00:00;1;0;0
2022-06-22 08:00:00;1;0;1
2023-02-13 22:00:00;4;0;0
2023-03-09 08:00:00;3;0;0
2023-03-10 11:00:00;1;0;0
2023-04-08 06:00:00;32;0;0
2023-06-04 10:00:00;2;0;1
2023-06-04 13:00:00;1;1;1
2024-04-28 12:00:00;2;0;1
2024-04-28 15:00:00;1;1;1
