time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2021-10-08 07:25:00;1;0;1
2021-10-21 03:00:00;11;0;1
2021-10-21 17:00:00;14;1;1
2022-06-22 08:00:00;1;0;0
2023-03-09 08:00:00;2;0;0
2023-04-08 06:00:00;32;0;0
2023-06-04 09:00:00;3;0;1
2023-06-04 13:00:00;1;1;1
2023-07-03 05:00:00;1;0;0
2023-07-03 07:00:00;1;0;0
2023-07-04 14:00:00;1;0;0
2023-07-04 20:00:00;1;0;0
2023-07-05 02:00:00;1;0;0
2023-07-05 05:00:00;1;0;0
2023-07-05 13:00:00;1;0;0
2023-07-06 06:00:00;1;0;0
2023-07-06 09:00:00;1;0;0
2023-07-06 19:00:00;1;0;0
2023-07-07 09:00:00;1;0;0
2023-07-10 15:00:00;1;0;0
2023-07-11 03:00:00;1;0;0
2023-07-11 14:00:00;1;0;0
2023-07-13 00:00:00;1;0;0
2023-07-13 10:00:00;1;0;0
2023-07-16 00:00:00;1;0;0
2023-07-16 15:00:00;1;0;0
2024-04-28 11:00:00;4;0;1
2024-04-28 16:00:00;36;1;1
