time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2021-10-21 03:00:00;1;0;0
2021-10-21 04:00:00;;;
2021-10-21 05:00:00;;;
2021-10-21 06:00:00;;;
2021-10-21 07:00:00;;;
2021-10-21 08:00:00;;;
2021-10-21 09:00:00;;;
2021-10-21 10:00:00;;;
2021-10-21 11:00:00;;;
2021-10-21 12:00:00;;;
2021-10-21 13:00:00;;;
2021-10-21 17:00:00;;;
2021-10-21 18:00:00;;;
2021-10-21 19:00:00;;;
2021-10-21 20:00:00;;;
2021-10-21 21:00:00;;;
2021-10-21 22:00:00;;;
2021-10-21 23:00:00;;;
2021-10-22 00:00:00;;;
2021-10-22 01:00:00;;;
2021-10-22 02:00:00;;;
2021-10-22 03:00:00;;;
2021-10-22 04:00:00;;;
2021-10-22 05:00:00;;;
2021-10-22 06:00:00;;;
2021-10-22 08:00:00;;;
2021-12-20 18:00:00;;;
2021-12-20 19:00:00;;;
2021-12-20 20:00:00;;;
2021-12-20 21:00:00;;;
2021-12-20 22:00:00;;;
2021-12-20 23:00:00;;;
2021-12-21 00:00:00;;;
2021-12-21 01:00:00;;;
2021-12-21 02:00:00;;;
2021-12-21 03:00:00;;;
2021-12-21 04:00:00;;;
2021-12-21 05:00:00;;;
2021-12-30 13:00:00;;;
2021-12-30 18:00:00;;;
2021-12-30 19:00:00;;;
2021-12-30 20:00:00;;;
2021-12-30 21:00:00;;;
2021-12-30 22:00:00;;;
2021-12-30 23:00:00;;;
2021-12-31 00:00:00;;;
2021-12-31 01:00:00;;;
2021-12-31 02:00:00;;;
2021-12-31 03:00:00;;;
2021-12-31 04:00:00;;;
2021-12-31 05:00:00;;;
2021-12-31 06:00:00;;;
2021-12-31 07:00:00;;;
2021-12-31 08:00:00;;;
2021-12-31 09:00:00;;;
2021-12-31 10:00:00;;;
2021-12-31 11:00:00;;;
2021-12-31 12:00:00;;;
2021-12-31 13:00:00;;;
2021-12-31 14:00:00;;;
2021-12-31 16:00:00;;;
2021-12-31 17:00:00;;;
2021-12-31 18:00:00;;;
2021-12-31 19:00:00;;;
2021-12-31 20:00:00;;;
2021-12-31 21:00:00;;;
2021-12-31 22:00:00;;;
2021-12-31 23:00:00;;;
2022-01-03 03:00:00;;;
2022-01-03 05:00:00;;;
2022-01-03 09:00:00;;;
2022-01-03 10:00:00;;;
2022-01-03 11:00:00;;;
2022-01-03 12:00:00;;;
2022-01-03 13:00:00;;;
2022-01-03 14:00:00;;;
2022-01-03 15:00:00;;;
2022-01-03 16:00:00;;;
2022-01-03 17:00:00;;;
2022-01-03 18:00:00;;;
2022-01-03 19:00:00;;;
2022-01-03 20:00:00;;;
2022-01-03 21:00:00;;;
2022-01-13 13:00:00;;;
2022-01-13 14:00:00;;;
2022-01-13 15:00:00;;;
2022-01-13 16:00:00;;;
2022-01-13 17:00:00;;;
2022-01-13 18:00:00;;;
2022-01-13 19:00:00;;;
2022-01-16 19:00:00;;;
2022-01-16 20:00:00;;;
2022-01-16 21:00:00;;;
2022-01-16 22:00:00;;;
2022-01-16 23:00:00;;;
2022-01-17 00:00:00;;;
2022-01-17 01:00:00;;;
2022-01-17 02:00:00;;;
2022-01-17 03:00:00;;;
2022-01-17 04:00:00;;;
2022-02-07 22:00:00;;;
2023-03-09 09:00:00;;;
2023-03-20 19:00:00;;;
2023-03-20 20:00:00;;;
2023-03-20 21:00:00;;;
2023-03-20 22:00:00;;;
2023-03-20 23:00:00;;;
2023-03-21 00:00:00;;;
2023-03-21 01:00:00;;;
2023-03-21 02:00:00;;;
2023-03-21 03:00:00;;;
2023-03-21 04:00:00;;;
2023-03-21 05:00:00;;;
2023-04-08 06:00:00;;;
2023-04-08 07:00:00;;;
2023-04-08 08:00:00;;;
2023-04-08 09:00:00;;;
2023-04-08 10:00:00;;;
2023-04-08 11:00:00;;;
2023-04-08 12:00:00;;;
2023-04-08 13:00:00;;;
2023-04-08 14:00:00;;;
2023-04-08 15:00:00;;;
2023-04-08 16:00:00;;;
2023-04-08 17:00:00;;;
2023-04-08 18:00:00;;;
2023-04-08 19:00:00;;;
2023-04-08 20:00:00;;;
2023-04-08 21:00:00;;;
2023-04-08 22:00:00;;;
2023-04-08 23:00:00;;;
2023-04-09 00:00:00;;;
2023-04-09 01:00:00;;;
2023-04-09 02:00:00;;;
2023-04-09 03:00:00;;;
2023-04-09 04:00:00;;;
2023-04-09 05:00:00;;;
2023-04-09 06:00:00;;;
2023-04-09 07:00:00;;;
2023-04-09 08:00:00;;;
2023-04-09 09:00:00;;;
2023-04-09 10:00:00;;;
2023-04-09 11:00:00;;;
2023-04-09 12:00:00;;;
2023-04-09 13:00:00;;;
2023-05-04 02:00:00;;;
2023-05-04 03:00:00;;;
2023-05-04 04:00:00;;;
2023-05-04 05:00:00;;;
2023-05-10 00:00:00;;;
2023-05-10 01:00:00;;;
2023-05-10 02:00:00;;;
2023-05-10 03:00:00;;;
2023-05-16 19:00:00;;;
2023-05-22 19:00:00;;;
2023-05-22 20:00:00;;;
2023-05-22 21:00:00;;;
2023-05-22 22:00:00;;;
2023-05-22 23:00:00;;;
2023-05-23 00:00:00;;;
2023-05-23 01:00:00;;;
2023-05-23 02:00:00;;;
2023-05-23 03:00:00;;;
2023-05-23 04:00:00;;;
2023-05-23 05:00:00;;;
2023-05-23 06:00:00;;;
2023-06-04 09:00:00;;;
2023-06-04 10:00:00;;;
2023-06-04 11:00:00;;;
2023-06-04 13:00:00;;;
2024-04-28 13:00:00;;;
2024-04-28 15:00:00;;;
