time_delta;DURATION;START
1;70 days 20:00:00;2023-10-29 08:00:00
2;241 days 00:00:00;2023-01-16 06:00:00
3;241 days 00:00:00;2023-01-16 06:00:00
4;356 days 22:00:00;2023-01-16 06:00:00
5;356 days 22:00:00;2023-01-16 06:00:00
6;356 days 22:00:00;2023-01-16 06:00:00
7;356 days 22:00:00;2023-01-16 06:00:00
8;356 days 22:00:00;2023-01-16 06:00:00
9;356 days 22:00:00;2023-01-16 06:00:00
10;363 days 22:00:00;2023-01-16 06:00:00
11;363 days 22:00:00;2023-01-16 06:00:00
12;363 days 22:00:00;2023-01-16 06:00:00
13;363 days 22:00:00;2023-01-16 06:00:00
14;363 days 22:00:00;2023-01-16 06:00:00
15;363 days 22:00:00;2023-01-16 06:00:00
16;363 days 22:00:00;2023-01-16 06:00:00
17;363 days 22:00:00;2023-01-16 06:00:00
18;363 days 22:00:00;2023-01-16 06:00:00
19;363 days 22:00:00;2023-01-16 06:00:00
20;363 days 22:00:00;2023-01-16 06:00:00
21;363 days 22:00:00;2023-01-16 06:00:00
22;363 days 22:00:00;2023-01-16 06:00:00
23;363 days 22:00:00;2023-01-16 06:00:00
24;363 days 22:00:00;2023-01-16 06:00:00
