time_delta;DURATION;START
1;79 days 18:00:00;2022-03-28 08:00:00
2;241 days 00:00:00;2023-01-16 06:00:00
3;241 days 00:00:00;2023-01-16 06:00:00
4;317 days 05:00:00;2023-01-16 06:00:00
5;317 days 05:00:00;2023-01-16 06:00:00
6;317 days 05:00:00;2023-01-16 06:00:00
7;317 days 05:00:00;2023-01-16 06:00:00
8;317 days 05:00:00;2023-01-16 06:00:00
9;317 days 05:00:00;2023-01-16 06:00:00
10;317 days 05:00:00;2023-01-16 06:00:00
11;317 days 05:00:00;2023-01-16 06:00:00
12;317 days 05:00:00;2023-01-16 06:00:00
13;317 days 05:00:00;2023-01-16 06:00:00
14;317 days 05:00:00;2023-01-16 06:00:00
15;317 days 05:00:00;2023-01-16 06:00:00
16;317 days 05:00:00;2023-01-16 06:00:00
17;317 days 05:00:00;2023-01-16 06:00:00
18;317 days 05:00:00;2023-01-16 06:00:00
19;317 days 05:00:00;2023-01-16 06:00:00
20;317 days 05:00:00;2023-01-16 06:00:00
21;317 days 05:00:00;2023-01-16 06:00:00
22;317 days 05:00:00;2023-01-16 06:00:00
23;317 days 05:00:00;2023-01-16 06:00:00
24;317 days 05:00:00;2023-01-16 06:00:00
