time_delta;DURATION;START
1;70 days 20:00:00;2023-10-29 08:00:00
2;175 days 03:00:00;2023-01-16 06:00:00
3;241 days 00:00:00;2023-01-16 06:00:00
4;356 days 22:00:00;2023-01-16 06:00:00
5;356 days 22:00:00;2023-01-16 06:00:00
6;356 days 22:00:00;2023-01-16 06:00:00
7;356 days 22:00:00;2023-01-16 06:00:00
8;356 days 22:00:00;2023-01-16 06:00:00
9;356 days 22:00:00;2023-01-16 06:00:00
10;112 days 16:00:00;2022-08-22 07:00:00
11;112 days 16:00:00;2022-08-22 07:00:00
12;112 days 16:00:00;2022-08-22 07:00:00
13;112 days 16:00:00;2022-08-22 07:00:00
14;129 days 19:00:00;2021-11-14 12:00:00
15;129 days 19:00:00;2021-11-14 12:00:00
16;129 days 19:00:00;2021-11-14 12:00:00
17;129 days 19:00:00;2021-11-14 12:00:00
18;129 days 19:00:00;2021-11-14 12:00:00
19;129 days 19:00:00;2021-11-14 12:00:00
20;172 days 16:00:00;2022-06-23 07:00:00
21;172 days 16:00:00;2022-06-23 07:00:00
22;172 days 16:00:00;2022-06-23 07:00:00
23;259 days 15:00:00;2022-03-28 08:00:00
24;259 days 15:00:00;2022-03-28 08:00:00
