time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2021-10-08 07:25:00;1;0;0
2021-10-21 03:00:00;;;
2021-10-21 04:00:00;;;
2021-10-21 05:00:00;;;
2021-10-21 06:00:00;;;
2021-10-21 07:00:00;;;
2021-10-21 08:00:00;;;
2021-10-21 09:00:00;;;
2021-10-21 10:00:00;;;
2021-10-21 11:00:00;;;
2021-10-21 12:00:00;;;
2021-10-21 13:00:00;;;
2021-10-21 17:00:00;;;
2021-10-21 18:00:00;;;
2021-10-21 19:00:00;;;
2021-10-21 20:00:00;;;
2021-10-21 21:00:00;;;
2021-10-21 22:00:00;;;
2021-10-21 23:00:00;;;
2021-10-22 00:00:00;;;
2021-10-22 01:00:00;;;
2021-10-22 02:00:00;;;
2021-10-22 03:00:00;;;
2021-10-22 04:00:00;;;
2021-10-22 05:00:00;;;
2021-10-22 06:00:00;;;
2022-09-24 09:00:00;;;
2022-09-24 19:00:00;;;
2022-09-24 22:00:00;;;
2022-09-25 22:00:00;;;
2023-03-09 09:00:00;;;
2023-04-08 06:00:00;;;
2023-04-08 07:00:00;;;
2023-04-08 08:00:00;;;
2023-04-08 09:00:00;;;
2023-04-08 10:00:00;;;
2023-04-08 11:00:00;;;
2023-04-08 12:00:00;;;
2023-04-08 13:00:00;;;
2023-04-08 14:00:00;;;
2023-04-08 15:00:00;;;
2023-04-08 16:00:00;;;
2023-04-08 17:00:00;;;
2023-04-08 18:00:00;;;
2023-04-08 19:00:00;;;
2023-04-08 20:00:00;;;
2023-04-08 21:00:00;;;
2023-04-08 22:00:00;;;
2023-04-08 23:00:00;;;
2023-04-09 00:00:00;;;
2023-04-09 01:00:00;;;
2023-04-09 02:00:00;;;
2023-04-09 03:00:00;;;
2023-04-09 04:00:00;;;
2023-04-09 05:00:00;;;
2023-04-09 06:00:00;;;
2023-04-09 07:00:00;;;
2023-04-09 08:00:00;;;
2023-04-09 09:00:00;;;
2023-04-09 10:00:00;;;
2023-04-09 11:00:00;;;
2023-04-09 12:00:00;;;
2023-04-09 13:00:00;;;
2023-06-04 09:00:00;;;
2023-06-04 10:00:00;;;
2023-06-04 11:00:00;;;
2023-06-04 13:00:00;;;
2024-04-28 13:00:00;;;
2024-04-28 15:00:00;;;
2024-04-28 17:00:00;;;
