time_stamp;LENGTH;N_MISSING_BEFORE;N_MISSING_AFTER
2020-01-23 08:27:00;2;0;2
2020-06-12 20:27:00;30;0;34
2020-06-15 11:27:00;441;34;0
2020-07-16 10:27:00;2;4;0
2020-09-09 23:27:00;1;0;0
2020-09-16 08:27:00;2;0;0
2020-09-26 13:27:00;2;0;0
2020-10-10 23:27:00;1;0;0
2021-12-15 03:27:00;2;0;0
2021-12-16 05:27:00;26;0;0
2022-01-23 13:00:00;1;846;2
2022-01-23 15:00:00;5;2;0
2022-03-14 22:00:00;9;0;0
2022-06-23 07:00:00;3;0;0
2022-11-12 09:00:00;3;0;27
2023-01-22 12:00:00;33;0;0
2023-06-03 16:00:00;1;0;88
2024-03-21 16:00:00;1;3639;0
