time_stamp;LENGTH;N_MISSING_BEFORE;N_MISSING_AFTER
2020-01-23 08:27:00;3;0;0
2020-06-29 22:27:00;1;0;0
2020-07-16 10:27:00;2;4;0
2020-09-16 08:27:00;2;0;0
2022-01-23 13:00:00;1;2;2
2022-06-23 07:00:00;3;0;0
2022-09-04 02:00:00;1;0;0
2022-09-06 15:00:00;1;0;0
2022-09-15 01:00:00;179;0;2
2022-09-22 13:00:00;327;2;923
2023-06-03 16:00:00;3;0;0
2023-07-06 09:00:00;1;0;0
2023-07-06 18:00:00;1;0;0
2023-07-06 22:00:00;1;0;0
2023-07-07 10:00:00;1;0;0
2023-07-07 13:00:00;1;0;0
2023-07-08 02:00:00;1;0;0
2023-07-08 10:00:00;1;0;0
2023-07-08 19:00:00;1;0;0
2023-07-08 21:00:00;1;0;0
2023-07-09 20:00:00;1;0;0
2023-07-11 13:00:00;1;0;0
2023-07-11 21:00:00;1;0;0
2023-07-12 15:00:00;1;0;0
2024-05-23 23:00:00;1;0;0
