time_delta;DURATION;START
1;116 days 22:00:00;2020-01-23 11:27:00
2;209 days 03:33:00;2021-12-30 18:27:00
3;209 days 03:33:00;2021-12-30 18:27:00
4;209 days 03:33:00;2021-12-30 18:27:00
5;237 days 12:33:00;2021-12-02 09:27:00
6;237 days 12:33:00;2021-12-02 09:27:00
7;237 days 12:33:00;2021-12-02 09:27:00
8;237 days 12:33:00;2021-12-02 09:27:00
9;237 days 12:33:00;2021-12-02 09:27:00
10;237 days 12:33:00;2021-12-02 09:27:00
11;237 days 12:33:00;2021-12-02 09:27:00
12;237 days 12:33:00;2021-12-02 09:27:00
13;237 days 12:33:00;2021-12-02 09:27:00
14;237 days 12:33:00;2021-12-02 09:27:00
15;237 days 12:33:00;2021-12-02 09:27:00
16;255 days 09:33:00;2021-11-14 12:27:00
17;255 days 09:33:00;2021-11-14 12:27:00
18;255 days 09:33:00;2021-11-14 12:27:00
19;255 days 09:33:00;2021-11-14 12:27:00
20;255 days 09:33:00;2021-11-14 12:27:00
21;255 days 09:33:00;2021-11-14 12:27:00
22;255 days 09:33:00;2021-11-14 12:27:00
23;255 days 09:33:00;2021-11-14 12:27:00
24;255 days 09:33:00;2021-11-14 12:27:00
