time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2020-01-23 08:27:00;1;0;0
2020-06-21 17:27:00;;;
2020-07-05 09:27:00;;;
2020-07-16 10:27:00;;;
2020-07-16 11:27:00;;;
2020-09-16 08:27:00;;;
2020-09-16 09:27:00;;;
2020-10-04 07:27:00;;;
2021-05-23 14:27:00;;;
2021-12-13 21:27:00;;;
2021-12-13 22:27:00;;;
2021-12-13 23:27:00;;;
2021-12-14 00:27:00;;;
2021-12-14 01:27:00;;;
2021-12-14 02:27:00;;;
2021-12-14 03:27:00;;;
2021-12-14 04:27:00;;;
2021-12-14 05:27:00;;;
2021-12-14 06:27:00;;;
2021-12-14 07:27:00;;;
2022-01-23 13:00:00;;;
2022-03-21 19:00:00;;;
2022-03-21 20:00:00;;;
2022-03-21 21:00:00;;;
2022-03-21 22:00:00;;;
2022-03-21 23:00:00;;;
2022-03-22 00:00:00;;;
2022-03-22 01:00:00;;;
2022-03-22 02:00:00;;;
2022-03-22 03:00:00;;;
2022-03-22 04:00:00;;;
2022-03-22 05:00:00;;;
2022-03-22 06:00:00;;;
2022-03-22 07:00:00;;;
2022-03-22 08:00:00;;;
2022-03-22 09:00:00;;;
2022-03-22 10:00:00;;;
2022-03-22 11:00:00;;;
2022-03-22 12:00:00;;;
2022-03-22 13:00:00;;;
2022-03-22 14:00:00;;;
2022-03-22 15:00:00;;;
2022-03-22 16:00:00;;;
2022-03-22 17:00:00;;;
2022-03-22 18:00:00;;;
2022-03-22 19:00:00;;;
2022-03-22 20:00:00;;;
2022-03-22 21:00:00;;;
2022-03-22 22:00:00;;;
2022-03-22 23:00:00;;;
2022-03-23 00:00:00;;;
2022-03-23 01:00:00;;;
2022-03-23 02:00:00;;;
2022-03-23 03:00:00;;;
2022-03-23 04:00:00;;;
2022-03-23 05:00:00;;;
2022-03-23 06:00:00;;;
2022-03-23 07:00:00;;;
2022-03-23 08:00:00;;;
2022-03-23 09:00:00;;;
2022-03-23 10:00:00;;;
2022-03-23 11:00:00;;;
2022-03-23 12:00:00;;;
2022-03-23 13:00:00;;;
2022-03-23 14:00:00;;;
2022-03-23 15:00:00;;;
2022-03-23 16:00:00;;;
2022-03-23 17:00:00;;;
2022-03-23 18:00:00;;;
2022-03-23 19:00:00;;;
2022-03-23 20:00:00;;;
2022-03-23 21:00:00;;;
2022-03-23 22:00:00;;;
2022-03-23 23:00:00;;;
2022-03-24 00:00:00;;;
2022-03-24 01:00:00;;;
2022-03-24 02:00:00;;;
2022-03-24 03:00:00;;;
2022-03-24 04:00:00;;;
2022-03-24 05:00:00;;;
2022-03-24 06:00:00;;;
2022-03-24 07:00:00;;;
2022-03-24 08:00:00;;;
2022-03-24 09:00:00;;;
2022-03-24 10:00:00;;;
2022-03-24 11:00:00;;;
2022-03-24 12:00:00;;;
2022-03-24 13:00:00;;;
2022-03-24 14:00:00;;;
2022-03-24 15:00:00;;;
2022-03-24 16:00:00;;;
2022-03-24 17:00:00;;;
2022-03-24 18:00:00;;;
2022-03-24 19:00:00;;;
2022-03-24 20:00:00;;;
2022-03-24 21:00:00;;;
2022-03-24 22:00:00;;;
2022-03-24 23:00:00;;;
