time_delta;DURATION;START
1;108 days 11:00:00;2020-01-23 11:27:00
2;139 days 03:00:00;2020-01-01 00:27:00
3;139 days 09:00:00;2020-01-01 00:27:00
4;139 days 09:00:00;2020-01-01 00:27:00
5;139 days 09:00:00;2020-01-01 00:27:00
6;141 days 11:00:00;2021-03-25 12:27:00
7;183 days 14:00:00;2020-06-15 11:27:00
8;202 days 02:00:00;2022-11-13 14:00:00
9;202 days 02:00:00;2022-11-13 14:00:00
10;202 days 02:00:00;2022-11-13 14:00:00
11;202 days 02:00:00;2022-11-13 14:00:00
12;202 days 02:00:00;2022-11-13 14:00:00
13;202 days 02:00:00;2022-11-13 14:00:00
14;202 days 02:00:00;2022-11-13 14:00:00
15;202 days 02:00:00;2022-11-13 14:00:00
16;202 days 02:00:00;2022-11-13 14:00:00
17;202 days 02:00:00;2022-11-13 14:00:00
18;202 days 02:00:00;2022-11-13 14:00:00
19;202 days 02:00:00;2022-11-13 14:00:00
20;202 days 02:00:00;2022-11-13 14:00:00
21;202 days 02:00:00;2022-11-13 14:00:00
22;202 days 02:00:00;2022-11-13 14:00:00
23;202 days 02:00:00;2022-11-13 14:00:00
24;202 days 02:00:00;2022-11-13 14:00:00
