time_delta;DURATION;START
1;139 days 09:00:00;2020-01-01 00:27:00
2;167 days 03:00:00;2022-08-08 09:00:00
3;167 days 03:00:00;2022-08-08 09:00:00
4;167 days 03:00:00;2022-08-08 09:00:00
5;167 days 03:00:00;2022-08-08 09:00:00
6;167 days 03:00:00;2022-08-08 09:00:00
7;183 days 14:00:00;2020-06-15 11:27:00
8;196 days 23:00:00;2023-01-23 16:00:00
9;196 days 23:00:00;2023-01-23 16:00:00
10;196 days 23:00:00;2023-01-23 16:00:00
11;196 days 23:00:00;2023-01-23 16:00:00
12;196 days 23:00:00;2023-01-23 16:00:00
13;196 days 23:00:00;2023-01-23 16:00:00
14;196 days 23:00:00;2023-01-23 16:00:00
15;196 days 23:00:00;2023-01-23 16:00:00
16;196 days 23:00:00;2023-01-23 16:00:00
17;196 days 23:00:00;2023-01-23 16:00:00
18;196 days 23:00:00;2023-01-23 16:00:00
19;196 days 23:00:00;2023-01-23 16:00:00
20;196 days 23:00:00;2023-01-23 16:00:00
21;196 days 23:00:00;2023-01-23 16:00:00
22;196 days 23:00:00;2023-01-23 16:00:00
23;196 days 23:00:00;2023-01-23 16:00:00
24;196 days 23:00:00;2023-01-23 16:00:00
