time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2020-01-23 08:27:00;1;0;0
2020-01-23 09:27:00;;;
2020-07-16 10:27:00;;;
2020-07-16 11:27:00;;;
2020-09-16 08:27:00;;;
2020-09-16 09:27:00;;;
2020-09-28 05:27:00;;;
2022-01-23 13:00:00;;;
2022-06-23 07:00:00;;;
2022-06-23 08:00:00;;;
2022-06-23 09:00:00;;;
2022-06-23 10:00:00;;;
2022-11-12 09:00:00;;;
2022-11-12 10:00:00;;;
2022-11-12 11:00:00;;;
2023-01-22 12:00:00;;;
2023-01-22 13:00:00;;;
2023-01-22 14:00:00;;;
2023-01-22 15:00:00;;;
2023-01-22 16:00:00;;;
2023-01-22 17:00:00;;;
2023-01-22 18:00:00;;;
2023-01-22 19:00:00;;;
2023-01-22 20:00:00;;;
2023-01-22 21:00:00;;;
2023-01-22 22:00:00;;;
2023-01-22 23:00:00;;;
2023-01-23 00:00:00;;;
2023-01-23 01:00:00;;;
2023-01-23 02:00:00;;;
2023-01-23 03:00:00;;;
2023-01-23 04:00:00;;;
2023-01-23 05:00:00;;;
2023-01-23 06:00:00;;;
2023-01-23 07:00:00;;;
2023-01-23 08:00:00;;;
2023-01-23 09:00:00;;;
2023-01-23 10:00:00;;;
2023-01-23 11:00:00;;;
2023-01-23 12:00:00;;;
2023-01-23 13:00:00;;;
2023-01-23 14:00:00;;;
2023-01-23 15:00:00;;;
2023-06-03 16:00:00;;;
2023-12-02 08:00:00;;;
2023-12-02 09:00:00;;;
2024-03-21 16:00:00;;;
