Station,Parameter,Depth,Fraction of anomalous values being part of of sequences longer than 5
Fehmarn Belt Buoy,WT,-1.0,0.9714285714285714
Fehmarn Belt Buoy,WT,-15.0,0.8163265306122449
Fehmarn Belt Buoy,WT,-20.0,0.7627118644067796
Fehmarn Belt Buoy,WT,-24.0,0.8518518518518519
Fehmarn Belt Buoy,WT,-3.0,0.7959183673469388
Fehmarn Belt Buoy,WT,-6.0,0.8666666666666667
Fehmarn Belt Buoy,SZ,-10.0,0.7192982456140351
Fehmarn Belt Buoy,SZ,-15.0,0.639344262295082
Fehmarn Belt Buoy,SZ,-20.0,0.6338028169014085
Fehmarn Belt Buoy,SZ,-24.0,0.43373493975903615
Fehmarn Belt Buoy,SZ,-3.0,0.9965122072745392
Fehmarn Belt Buoy,SZ,-6.0,0.6730769230769231
Kiel Lighthouse,WT,-13.0,0.0
Kiel Lighthouse,WT,-2.0,1.0
Kiel Lighthouse,WT,-8.0,0.5
Kiel Lighthouse,SZ,-13.0,0.0
Kiel Lighthouse,SZ,-4.0,0.30434782608695654
Kiel Lighthouse,SZ,-8.0,0.6666666666666666
North Sea Buoy II,WT,-11.0,0.8472222222222222
North Sea Buoy II,WT,-15.0,0.7623318385650224
North Sea Buoy II,WT,-20.0,0.8211382113821138
North Sea Buoy II,WT,-25.0,0.7093023255813954
North Sea Buoy II,WT,-3.0,1.0
North Sea Buoy II,WT,-30.0,0.8133333333333334
North Sea Buoy II,WT,-35.0,0.8714285714285714
North Sea Buoy II,WT,-6.0,0.890625
North Sea Buoy II,SZ,-11.0,0.7559055118110236
North Sea Buoy II,SZ,-35.0,0.9069767441860465
North Sea Buoy II,SZ,-6.0,0.9104477611940298
North Sea Buoy III,WT,-11.0,0.18012422360248448
North Sea Buoy III,WT,-15.0,0.37333333333333335
North Sea Buoy III,WT,-2.0,0.6444444444444445
North Sea Buoy III,WT,-20.0,0.9422718808193669
North Sea Buoy III,WT,-25.0,0.6222222222222222
North Sea Buoy III,WT,-3.0,0.8666666666666667
North Sea Buoy III,WT,-30.0,0.8450704225352113
North Sea Buoy III,WT,-35.0,0.5957446808510638
North Sea Buoy III,WT,-6.0,0.6590909090909091
North Sea Buoy III,SZ,-11.0,0.9646017699115044
North Sea Buoy III,SZ,-35.0,0.8814229249011858
North Sea Buoy III,SZ,-6.0,0.8439716312056738
