,Station,Parameter,Depth,start_train,end_train,len_train,n_epochs,t_loss,v_loss,thresh
0,Fehmarn Belt Buoy,WT,1.0,2020010100,2020031420,1772.0,27,0.14103800159963695,0.400475338101387,2.1315
1,Fehmarn Belt Buoy,WT,3.0,2022092708,2023012418,2866.0,20,0.07309700150249733,0.12428303683797519,0.3205
2,Fehmarn Belt Buoy,WT,6.0,2022092708,2023012418,2866.0,15,0.1638554398709352,0.04074385754453639,0.1504
3,Fehmarn Belt Buoy,WT,15.0,2022092708,2023012418,2866.0,12,0.1907626486564469,0.05723703280091286,0.2755
4,Fehmarn Belt Buoy,WT,20.0,2022092708,2023011508,2640.0,20,0.22770496607567606,0.5653805732727051,0.7568
5,Fehmarn Belt Buoy,WT,24.0,2022092708,2023012418,2866.0,18,0.09532264568083014,0.16860238586862883,0.6603
6,Fehmarn Belt Buoy,SZ,3.0,2020010100,2020021209,1017.0,20,0.04308324686896343,0.505428671836853,6.174
7,Fehmarn Belt Buoy,SZ,6.0,2020032817,2020061215,1822.0,23,0.04913901829201242,0.05930250510573387,0.4792
8,Fehmarn Belt Buoy,SZ,10.0,2022092708,2022120117,1569.0,12,0.23320311061106622,0.804624430835247,2.1626
9,Fehmarn Belt Buoy,SZ,15.0,2020032414,2020061705,2031.0,30,0.41998999644643986,1.1003935933113098,5.9995
10,Fehmarn Belt Buoy,SZ,20.0,2020032414,2020070908,2562.0,16,0.35152609401848167,0.7618395686149597,5.6462
11,Fehmarn Belt Buoy,SZ,24.0,2020032414,2020062615,2257.0,17,0.06414600312876116,0.07448607683181763,0.9624
12,Kiel Lighthouse,WT,0.5,2020083016,2021032905,5053.0,20,0.6653089434447115,0.7752304151654243,1.3228
13,Kiel Lighthouse,WT,1.0,2020083016,2021032905,5053.0,31,0.38157322403738303,0.05068398918956518,0.1171
14,Kiel Lighthouse,WT,2.0,2020083016,2021032418,4946.0,11,1.2579713334111617,0.06581310834735632,0.2657
15,Kiel Lighthouse,WT,4.0,2020083016,2021032905,5053.0,39,0.33759716952160473,0.6862781941890717,1.2102
16,Kiel Lighthouse,WT,8.0,2020083016,2021032905,5053.0,32,0.1367843883511211,0.05431894585490227,0.2001
17,Kiel Lighthouse,WT,13.0,2020121202,2021032905,2571.0,12,0.2744254576682579,0.5041555315256119,1.8316
18,Kiel Lighthouse,SZ,4.0,2020083016,2021032905,5053.0,42,1.3540731962208474,0.593836173415184,2.8475
19,Kiel Lighthouse,SZ,8.0,2021062202,2021091606,2068.0,35,0.2432393625450249,0.028189036063849926,0.1912
20,Kiel Lighthouse,SZ,13.0,2020083016,2021032905,5053.0,11,0.33881671095104327,0.12012347532436252,1.3796
21,North Sea Buoy II,WT,3.0,2022010509,2022022307,1174.0,26,0.2365386118995957,0.024904334917664528,0.104
22,North Sea Buoy II,WT,6.0,2023072013,2023090514,1129.0,20,0.12049880543989795,0.09833649545907974,0.5704
23,North Sea Buoy II,WT,11.0,2022032808,2022051903,1243.0,25,0.046232765753302374,0.37672746181488037,1.1109
24,North Sea Buoy II,WT,15.0,2023102908,2024010804,1700.0,19,0.2077888106882927,0.8252629339694977,1.6496
25,North Sea Buoy II,WT,20.0,2022032808,2022061602,1914.0,26,0.06483518806877935,0.5573531687259674,1.9368
26,North Sea Buoy II,WT,25.0,2022032808,2022061602,1914.0,35,0.3522477971976817,3.186479330062866,6.433
27,North Sea Buoy II,WT,30.0,2022032808,2022061602,1914.0,18,0.22582093298600134,0.531369537115097,1.3319
28,North Sea Buoy II,WT,35.0,2023102908,2024010804,1700.0,11,0.42520344055568177,1.5277474522590637,2.3169
29,North Sea Buoy II,SZ,6.0,2022032808,2022061602,1914.0,35,0.044682040985208005,0.02904498018324375,0.2247
30,North Sea Buoy II,SZ,11.0,2023102908,2024010804,1700.0,13,0.2664862804647003,0.58587158145383,7.6698
31,North Sea Buoy II,SZ,35.0,2022032808,2022061602,1914.0,15,0.056819968352404736,0.6647028028964996,6.7022
32,North Sea Buoy III,WT,2.0,2020012311,2020051711,2760.0,26,0.006357340488882203,0.6009011616309484,6.5206
33,North Sea Buoy III,WT,3.0,2020091613,2020121601,2172.0,11,0.4029173419500391,0.7431996464729309,1.5931
34,North Sea Buoy III,WT,6.0,2020012311,2020051022,2603.0,16,0.0041516347282044026,2.4612908363342285,12.2232
35,North Sea Buoy III,WT,11.0,2020012311,2020051022,2603.0,14,0.010742977293292906,2.2247971147298813,12.6096
36,North Sea Buoy III,WT,15.0,2020012312,2020051903,2799.0,14,0.027287229338461266,3.4460285902023315,8.9716
37,North Sea Buoy III,WT,20.0,2020012311,2020051909,2806.0,11,0.02413072813900986,2.7444240053494773,15.5654
38,North Sea Buoy III,WT,25.0,2020012311,2020051909,2806.0,16,0.022775724852856782,0.17618643989165625,0.5192
39,North Sea Buoy III,WT,30.0,2020012311,2020051909,2806.0,19,0.02007333228497633,0.07202968870600064,0.2818
40,North Sea Buoy III,WT,35.0,2020012311,2020051909,2806.0,19,0.05882598878649462,0.3472371498743693,1.4857
41,North Sea Buoy III,SZ,6.0,2020012311,2020051909,2806.0,25,0.026796354789153806,0.05961090140044689,0.8446
42,North Sea Buoy III,SZ,11.0,2020012311,2020051909,2806.0,23,0.028686984106233077,0.09748270362615585,1.2285
43,North Sea Buoy III,SZ,35.0,2020012311,2020051909,2806.0,17,0.16705957001873425,0.03764557962616285,0.1006
