,Station,Parameter,Depth,start_train,end_train,len_train,n_epochs,t_loss,v_loss,thresh
0,Fehmarn Belt Buoy,WT,1.0,2020010100,2020031420,1772.0,12,0.2637798711657524,0.6928119659423828,9.1413
1,Fehmarn Belt Buoy,WT,3.0,2022092708,2023012418,2866.0,11,0.2957512450714906,0.2772847016652425,3.3399
2,Fehmarn Belt Buoy,WT,6.0,2022092708,2023012418,2866.0,11,0.2651271262827019,0.11410995572805405,1.27
3,Fehmarn Belt Buoy,WT,15.0,2022092708,2023012418,2866.0,11,0.2720043713278655,0.20864405731360117,1.7116
4,Fehmarn Belt Buoy,WT,20.0,2022092708,2023011508,2640.0,13,0.2977249017267516,0.7511931359767914,6.1176
5,Fehmarn Belt Buoy,WT,24.0,2022092708,2023012418,2866.0,12,0.20067061858976054,0.8919462462266287,15.9552
6,Fehmarn Belt Buoy,SZ,3.0,2020010100,2020021209,1017.0,15,0.2138018891788446,1.8826720714569092,25.8871
7,Fehmarn Belt Buoy,SZ,6.0,2020032817,2020061215,1822.0,12,0.2409798906225225,1.5511248707771301,15.0914
8,Fehmarn Belt Buoy,SZ,10.0,2022092708,2022120117,1569.0,16,0.19649978729430587,0.910460889339447,11.9385
9,Fehmarn Belt Buoy,SZ,15.0,2020032414,2020061705,2031.0,12,0.27664468735456466,0.6011625826358795,5.7657
10,Fehmarn Belt Buoy,SZ,20.0,2020032414,2020070908,2562.0,13,0.23721202579326928,1.0314213782548904,12.7403
11,Fehmarn Belt Buoy,SZ,24.0,2020032414,2020062615,2257.0,12,0.24659382990960563,0.9526059627532959,11.5519
12,Kiel Lighthouse,WT,0.5,2020083016,2021032905,5053.0,14,0.2948176080863627,1.5175779163837433,32.819
13,Kiel Lighthouse,WT,1.0,2020083016,2021032905,5053.0,11,0.3508126665320661,1.0886877179145813,18.2536
14,Kiel Lighthouse,WT,2.0,2020083016,2021032418,4946.0,11,0.4039953085443666,1.3614868447184563,31.3808
15,Kiel Lighthouse,WT,4.0,2020083016,2021032905,5053.0,11,0.3470330254899131,0.8527188077569008,11.5493
16,Kiel Lighthouse,WT,8.0,2020083016,2021032905,5053.0,14,0.43396401836995097,0.3892551138997078,3.7856
17,Kiel Lighthouse,WT,13.0,2020121202,2021032905,2571.0,12,0.2974494321970269,0.23339587450027466,4.6085
18,Kiel Lighthouse,SZ,4.0,2020083016,2021032905,5053.0,11,0.34292164388748386,0.6281700059771538,8.388
19,Kiel Lighthouse,SZ,8.0,2021062202,2021091606,2068.0,17,0.23589576544383398,0.20231817290186882,1.614
20,Kiel Lighthouse,SZ,13.0,2020083016,2021032905,5053.0,11,0.4456338255873157,0.3522780449129641,9.9854
21,North Sea Buoy II,WT,3.0,2022010509,2022022307,1174.0,15,0.18000442087650298,1.146714687347412,13.7988
22,North Sea Buoy II,WT,6.0,2023072013,2023090514,1129.0,15,0.1948455800967557,0.9584066271781921,9.3695
23,North Sea Buoy II,WT,11.0,2022032808,2022051903,1243.0,14,0.2051974138157675,0.6849250793457031,7.7142
24,North Sea Buoy II,WT,15.0,2023102908,2024010804,1700.0,11,0.22528000246910823,0.29471927881240845,3.8857
25,North Sea Buoy II,WT,20.0,2022032808,2022061602,1914.0,15,0.40941109671257436,0.7530020177364349,7.2598
26,North Sea Buoy II,WT,25.0,2022032808,2022061602,1914.0,14,0.27641428785864264,1.473026379942894,39.5718
27,North Sea Buoy II,WT,30.0,2022032808,2022061602,1914.0,22,0.1334597749131111,1.95396151766181,68.1371
28,North Sea Buoy II,WT,35.0,2023102908,2024010804,1700.0,12,0.37799504434778575,0.19721745233982801,4.3371
29,North Sea Buoy II,SZ,6.0,2022032808,2022061602,1914.0,12,0.2519706923825045,0.4702909216284752,11.5689
30,North Sea Buoy II,SZ,11.0,2023102908,2024010804,1700.0,12,0.27494837024382185,1.0894316732883453,22.6049
31,North Sea Buoy II,SZ,35.0,2022032808,2022061602,1914.0,13,0.48413573834113777,0.2547737807035446,3.7956
32,North Sea Buoy III,WT,2.0,2020012311,2020051711,2760.0,12,0.56974009594747,1.1638381878534954,9.3497
33,North Sea Buoy III,WT,3.0,2020091613,2020121601,2172.0,13,0.24999849222324513,0.7206418216228485,8.123
34,North Sea Buoy III,WT,6.0,2020012311,2020051022,2603.0,12,0.12489372418459618,2.3900967240333557,26.9279
35,North Sea Buoy III,WT,11.0,2020012311,2020051022,2603.0,12,0.0618964006249426,4.2420294880867,104.6316
36,North Sea Buoy III,WT,15.0,2020012312,2020051903,2799.0,13,0.031648569095081514,2.8848963690300784,46.5361
37,North Sea Buoy III,WT,20.0,2020012311,2020051909,2806.0,13,0.03493770981939243,11.455584208170572,56.1683
38,North Sea Buoy III,WT,25.0,2020012311,2020051909,2806.0,12,0.2536733729498727,0.25295574963092804,1.7618
39,North Sea Buoy III,WT,30.0,2020012311,2020051909,2806.0,12,0.30489143069301333,0.25196095804373425,2.3609
40,North Sea Buoy III,WT,35.0,2020012311,2020051909,2806.0,12,0.3700488107545035,0.33758654197057086,3.3299
41,North Sea Buoy III,SZ,6.0,2020012311,2020051909,2806.0,12,0.208893508464098,1.370408296585083,24.6888
42,North Sea Buoy III,SZ,11.0,2020012311,2020051909,2806.0,12,0.13168292991550906,1.9919593681891758,40.3002
43,North Sea Buoy III,SZ,35.0,2020012311,2020051909,2806.0,12,0.3432652512299163,0.04350310998658339,0.4199
