,Station,Parameter,Depth,start_train,end_train,len_train,n_epochs,t_loss,v_loss,thresh
0,Fehmarn Belt Buoy,WT,1.0,2020010100,2020031420,1772.0,27,0.18065862518481232,0.1567239686846733,1.0404
1,Fehmarn Belt Buoy,WT,3.0,2022092708,2023012418,2866.0,20,0.6952450809832145,0.0774361677467823,0.2086
2,Fehmarn Belt Buoy,WT,6.0,2022092708,2023012418,2866.0,15,0.22418554649630096,0.019932049326598644,0.0702
3,Fehmarn Belt Buoy,WT,15.0,2022092708,2023012418,2866.0,12,0.19104423464806233,0.05769781954586506,0.2785
4,Fehmarn Belt Buoy,WT,20.0,2022092708,2023011508,2640.0,20,0.6753919270510474,2.697195529937744,2.6966
5,Fehmarn Belt Buoy,WT,24.0,2022092708,2023012418,2866.0,18,0.09105980860476848,0.14944790552059808,0.5355
6,Fehmarn Belt Buoy,SZ,3.0,2020010100,2020021209,1017.0,20,0.043083294115674034,0.5054288506507874,6.174
7,Fehmarn Belt Buoy,SZ,6.0,2020032817,2020061215,1822.0,23,0.049141167379591774,0.05930609256029129,0.4792
8,Fehmarn Belt Buoy,SZ,10.0,2022092708,2022120117,1569.0,12,0.23224773202091456,0.8056775033473969,2.1649
9,Fehmarn Belt Buoy,SZ,15.0,2020032414,2020061705,2031.0,30,0.35343469922932297,1.3394971415400505,7.5082
10,Fehmarn Belt Buoy,SZ,20.0,2020032414,2020070908,2562.0,16,0.26058351452229545,0.8999033980071545,7.208
11,Fehmarn Belt Buoy,SZ,24.0,2020032414,2020062615,2257.0,17,0.06414628161084172,0.0744868591427803,0.9624
12,Kiel Lighthouse,WT,0.5,2020083016,2021032905,5053.0,28,0.6968640796027131,0.18996966630220413,0.4859
13,Kiel Lighthouse,WT,1.0,2020083016,2021032905,5053.0,14,0.8418421136762296,0.39373547956347466,0.6407
14,Kiel Lighthouse,WT,2.0,2020083016,2021032418,4946.0,11,1.2470848768782397,0.08723850641399622,0.2804
15,Kiel Lighthouse,WT,4.0,2020083016,2021032905,5053.0,39,0.12466230348634001,1.785780355334282,3.1386
16,Kiel Lighthouse,WT,8.0,2020083016,2021032905,5053.0,24,0.5876369722139475,0.858234703540802,2.2093
17,Kiel Lighthouse,WT,13.0,2020121202,2021032905,2571.0,12,0.2748997347516706,0.5007349848747253,1.8213
18,Kiel Lighthouse,SZ,4.0,2020083016,2021032905,5053.0,18,0.2523969037145088,0.10012956219725311,0.784
19,Kiel Lighthouse,SZ,8.0,2021062202,2021091606,2068.0,35,0.17413420172838065,0.14658690243959427,0.4467
20,Kiel Lighthouse,SZ,13.0,2020083016,2021032905,5053.0,18,0.1024004492321096,0.02430005365749821,0.4556
21,North Sea Buoy II,WT,3.0,2022010509,2022022307,1174.0,26,0.23654121719106722,0.024893270805478096,0.104
22,North Sea Buoy II,WT,6.0,2023072013,2023090514,1129.0,20,0.12049797203923975,0.09832961857318878,0.5704
23,North Sea Buoy II,WT,11.0,2022032808,2022051903,1243.0,25,0.04623277638711443,0.37672722339630127,1.1109
24,North Sea Buoy II,WT,15.0,2023102908,2024010804,1700.0,19,0.21067526373302653,0.7355822175741196,1.4527
25,North Sea Buoy II,WT,20.0,2022032808,2022061602,1914.0,26,0.06649873090160933,0.5880129933357239,2.0225
26,North Sea Buoy II,WT,25.0,2022032808,2022061602,1914.0,30,0.6007505342519531,3.23579740524292,6.4116
27,North Sea Buoy II,WT,30.0,2022032808,2022061602,1914.0,18,0.21444011094384527,0.5207211375236511,1.1913
28,North Sea Buoy II,WT,35.0,2023102908,2024010804,1700.0,11,0.42521975213839186,1.5279643535614014,2.3172
29,North Sea Buoy II,SZ,6.0,2022032808,2022061602,1914.0,37,0.04011138489780327,0.012530666077509522,0.1903
30,North Sea Buoy II,SZ,11.0,2023102908,2024010804,1700.0,13,0.2668458516044276,0.587578295962885,7.703
31,North Sea Buoy II,SZ,35.0,2022032808,2022061602,1914.0,15,0.05682029124970237,0.6647128164768219,6.7022
32,North Sea Buoy III,WT,2.0,2020012311,2020051711,2760.0,26,0.006357340488882203,0.6009011616309484,6.5206
33,North Sea Buoy III,WT,3.0,2020091613,2020121601,2172.0,11,0.4029173419500391,0.7431996464729309,1.5931
34,North Sea Buoy III,WT,6.0,2020012311,2020051022,2603.0,16,0.0041516347282044026,2.4612908363342285,12.2232
35,North Sea Buoy III,WT,11.0,2020012311,2020051022,2603.0,14,0.010742977293292906,2.2247971147298813,12.6096
36,North Sea Buoy III,WT,15.0,2020012312,2020051903,2799.0,14,0.027287229338461266,3.4460285902023315,8.9716
37,North Sea Buoy III,WT,20.0,2020012311,2020051909,2806.0,11,0.02413072813900986,2.7444240053494773,15.5654
38,North Sea Buoy III,WT,25.0,2020012311,2020051909,2806.0,16,0.022775724852856782,0.17618643989165625,0.5192
39,North Sea Buoy III,WT,30.0,2020012311,2020051909,2806.0,19,0.02007333228497633,0.07202968870600064,0.2818
40,North Sea Buoy III,WT,35.0,2020012311,2020051909,2806.0,19,0.05882598878649462,0.3472371498743693,1.4857
41,North Sea Buoy III,SZ,6.0,2020012311,2020051909,2806.0,25,0.026796354789153806,0.05961090140044689,0.8446
42,North Sea Buoy III,SZ,11.0,2020012311,2020051909,2806.0,23,0.028686984106233077,0.09748270362615585,1.2285
43,North Sea Buoy III,SZ,35.0,2020012311,2020051909,2806.0,17,0.16705957001873425,0.03764557962616285,0.1006
